Подiя;Дата/час скоєння;Вулиця;Будинок
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);03.03.2015 9:00;Авіаційна;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);10.06.2015 20:20;Авіаційна;7А
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);11.11.2015 11:00;Антоновича В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);09.10.2015 17:00;Антоновича В.;32
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);03.06.2015 8:50;Антоновича В.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);01.12.2015 7:40;Антоновича-Залізняка;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);09.11.2015 14:30;Хмельницького Б.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);03.11.2015 10:00;Хмельницького Б.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);17.07.2015 19:15;Хмельницького Б.;145
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);30.05.2015 18:00;Хмельницького Б.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);15.05.2015 17:30;Хмельницького Б.;271
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);16.04.2015 23:30;Хмельницького Б.;
ПОРУШЕННЯ ПРАВИЛ ДОРОЖНЬОГО РУХУ ( В Т.Ч. ДТП З ТРАВМОВАНИМИ ОСОБАМИ);24.04.2015 12:05;Бандери С.;
